profile_id,latitude,longitude,2014,2019,2024
1146131,30.1666241,-82.8732071,6.6,6.3,5.9
1146131,30.1666241,-82.8732071,1.8,1.7,1.6
1146131,30.1666241,-82.8732071,3.4,3.2,3.0
1146131,30.1666241,-82.8732071,3.4,3.3,3.1
1146131,30.1666241,-82.8732071,1.6,1.5,1.4
1146131,30.1666241,-82.8732071,0.9,0.9,0.8
1146131,30.1666241,-82.8732071,0.7,0.6,0.6
1146132,27.8897495,-82.2068024,29.9,28.9,26.4
1146132,27.8897495,-82.2068024,3.2,2.9,2.8
1146132,27.8897495,-82.2068024,6.7,6.5,6.0
1146132,27.8897495,-82.2068024,3.9,3.8,3.5
1146132,27.8897495,-82.2068024,0.4,0.4,0.4
1146132,27.8897495,-82.2068024,0.1,0.1,0.1
1146133,27.3861561,-82.5440369,11.1,10.3,9.7
1146133,27.3861561,-82.5440369,1.4,1.3,1.2
1146133,27.3861561,-82.5440369,11.4,10.7,10.0
1146134,30.8616066,-87.4291763,24.9,24.0,22.0
1146134,30.8616066,-87.4291763,7.0,6.6,6.3
1146134,30.8616066,-87.4291763,2.5,2.4,2.2
1146134,30.8616066,-87.4291763,1.2,1.2,1.1
1146134,30.8616066,-87.4291763,0.8,0.7,0.7
1146134,30.8616066,-87.4291763,0.8,0.8,0.7
1146135,30.6013355,-87.343338,13.8,13.2,12.2
1146135,30.6013355,-87.343338,2.0,2.0,1.8
1146135,30.6013355,-87.343338,1.4,1.4,1.3
1146135,30.6013355,-87.343338,0.8,0.8,0.7
1146135,30.6013355,-87.343338,0.6,0.5,0.5
1146135,30.6013355,-87.343338,0.3,0.3,0.3
1147065,28.3033333,-82.4950027,16.2,15.7,14.7
1147065,28.3033333,-82.4950027,7.3,7.1,6.6
1147065,28.3033333,-82.4950027,3.7,3.5,3.2
1147065,28.3033333,-82.4950027,2.1,2.0,1.9
1147065,28.3033333,-82.4950027,1.1,1.1,1.0
1147065,28.3033333,-82.4950027,5.7,5.5,5.0
1148730,29.687952,-82.4295578,8.1,7.5,7.1
1148730,29.687952,-82.4295578,3.4,3.3,3.0
1148730,29.687952,-82.4295578,1.3,1.3,1.2
1148730,29.687952,-82.4295578,1.5,1.5,1.4
1148730,29.687952,-82.4295578,0.8,0.8,0.7
1148730,29.687952,-82.4295578,0.3,0.3,0.3
1148730,29.687952,-82.4295578,0.6,0.5,0.5
1148730,29.687952,-82.4295578,0.2,0.2,0.2
1148731,30.3115463,-82.0635605,13.1,12.4,11.4
1148731,30.3115463,-82.0635605,7.5,7.2,6.8
1148731,30.3115463,-82.0635605,2.3,2.3,2.1
1148731,30.3115463,-82.0635605,4.7,4.4,4.1
1148731,30.3115463,-82.0635605,9.0,8.9,8.2
1148731,30.3115463,-82.0635605,24.8,22.9,21.7
1148732,30.4023132,-85.4246674,14.6,13.9,12.7
1148732,30.4023132,-85.4246674,9.5,9.2,8.4
1148732,30.4023132,-85.4246674,3.8,3.7,3.4
1148732,30.4023132,-85.4246674,1.5,1.4,1.3
1148732,30.4023132,-85.4246674,1.4,1.3,1.2
1148732,30.4023132,-85.4246674,1.0,1.0,0.9
1148732,30.4023132,-85.4246674,2.4,2.3,2.1
1148732,30.4023132,-85.4246674,3.1,2.9,2.7
1148734,30.0302219,-82.0498505,6.9,6.5,6.0
1148734,30.0302219,-82.0498505,1.9,1.9,1.7
1148734,30.0302219,-82.0498505,0.9,0.9,0.8
1148734,30.0302219,-82.0498505,0.6,0.5,0.5
1148734,30.0302219,-82.0498505,1.2,1.2,1.1
1148734,30.0302219,-82.0498505,1.5,1.4,1.3
1148734,30.0302219,-82.0498505,6.4,6.2,5.7
1148734,30.0302219,-82.0498505,7.7,7.1,6.7
1148735,29.7696552,-82.0568008,8.5,8.4,7.7
1148735,29.7696552,-82.0568008,2.8,2.6,2.5
1148735,29.7696552,-82.0568008,0.9,0.8,0.8
1148735,29.7696552,-82.0568008,0.7,0.7,0.6
1148736,28.4760437,-80.7788086,6.7,6.5,6.0
1148736,28.4760437,-80.7788086,2.2,2.2,2.0
1148736,28.4760437,-80.7788086,1.1,1.1,1.0
1148736,28.4760437,-80.7788086,0.4,0.4,0.4
1148737,28.4171772,-80.8158188,52.2,48.9,46.0
1148737,28.4171772,-80.8158188,2.2,2.1,2.0
1148737,28.4171772,-80.8158188,63.0,59.5,56.0
1148737,28.4171772,-80.8158188,47.6,46.2,42.0
1148737,28.4171772,-80.8158188,16.0,15.3,14.0
1148737,28.4171772,-80.8158188,2.3,2.1,2.0
1148738,28.4282246,-80.8398666,96.4,92.7,86.0
1148738,28.4282246,-80.8398666,18.1,17.1,16.0
1148738,28.4282246,-80.8398666,10.1,9.7,9.0
1148738,28.4282246,-80.8398666,2.3,2.1,2.0
1148738,28.4282246,-80.8398666,3.4,3.2,3.0
1148738,28.4282246,-80.8398666,2.2,2.1,2.0
1148739,28.3659916,-80.7662506,532.4,522.8,480.0
1148739,28.3659916,-80.7662506,581.8,567.8,527.0
1148739,28.3659916,-80.7662506,549.8,520.5,487.0
1148741,26.1203575,-80.1787109,9.2,9.1,8.3
1148741,26.1203575,-80.1787109,1.6,1.5,1.4
1148741,26.1203575,-80.1787109,0.5,0.4,0.4
1148741,26.1203575,-80.1787109,0.9,0.8,0.8
1148741,26.1203575,-80.1787109,23.9,23.1,21.7
1148742,26.8570423,-81.9318695,15.2,14.5,13.6
1148742,26.8570423,-81.9318695,1.4,1.3,1.2
1148742,26.8570423,-81.9318695,0.9,0.9,0.8
1148742,26.8570423,-81.9318695,1.3,1.3,1.2
1148742,26.8570423,-81.9318695,0.8,0.7,0.7
1148742,26.8570423,-81.9318695,0.4,0.4,0.4
1148742,26.8570423,-81.9318695,0.9,0.8,0.8
1148742,26.8570423,-81.9318695,0.6,0.5,0.5
